variable	value	setting_type	public	description	default_value	origin
storage.value_separation.enabled	true	b	f	whether or not values may be separated into blob files	true	default
storage.value_separation.latency_tolerant_minimum_size	32	i	f	the minimum size of a value that will be separated into a blob file given the value is latency tolerant (in the range local keyspace)	32	default
storage.value_separation.max_reference_depth	10	i	f	the max reference depth bounds the number of unique, overlapping blob files referenced within a sstable; lower values improve scan performance but increase write amplification	10	default
storage.value_separation.minimum_size	256	i	f	the minimum size of a value that will be separated into a blob file	256	default
storage.value_separation.mvcc_history_minimum_size	1024	i	f	the minimum size of a value that will be separated into a blob file given the value is likely not the latest version of a key	1024	default
storage.value_separation.rewrite_minimum_age	5m0s	d	f	the minimum age of a blob file before it is eligible for a rewrite compaction	5m0s	default
storage.wal_failover.unhealthy_op_threshold	100ms	d	t	the latency of a WAL write considered unhealthy and triggers a failover to a secondary WAL location	100ms	default
physical_replication.consumer.heartbeat_frequency	30s	d	f	controls frequency the stream replication destination cluster sends heartbeat to the source cluster to keep the stream alive	30s	default
physical_replication.consumer.job_checkpoint_frequency	10s	d	f	controls the frequency with which partitions update their progress; if 0, disabled	10s	default
stream_replication.lag_check_frequency	3m0s	d	f	frequency at which the consumer job checks for lagging nodes	3m0s	default
physical_replication.producer.min_checkpoint_frequency	10s	d	f	controls minimum frequency the stream replication source cluster sends checkpoints to the destination cluster	10s	default
physical_replication.consumer.replan_flow_frequency	10m0s	d	f	frequency at which the consumer job checks to refresh its physical execution plan	10m0s	default
physical_replication.consumer.replan_flow_threshold	0.1	f	f	fraction of nodes in the producer or consumer job that would need to change to refresh the physical execution plan. If set to 0, the physical plan will not automatically refresh.	0.1	default
physical_replication.producer.stream_liveness_track_frequency	1m0s	d	f	controls how frequent we check for the liveness of a replication stream producer job	1m0s	default
tenant_cost_control.cpu_usage_allowance	10ms	d	f	this much CPU usage per second is considered background usage and doesn't contribute to consumption; for example, if it is set to 10ms, that corresponds to 1% of a CPU	10ms	default
tenant_cost_control.initial_request	1000	f	f	number of tokens to get from server on first request (requires restart)	1000	default
tenant_cost_control.provisioned_vcpus	0	i	f	number of vcpus available to the virtual cluster	0	default
tenant_cost_control.token_request_period	10s	d	f	target duration between token bucket requests (requires restart)	10s	default
tenant_cost_model.cross_region_network_cost		s	f	network cost table for cross-region traffic		default
tenant_cost_model.estimated_cpu		s	f	parameters for KV CPU prediction model, in json format		default
tenant_cost_model.external_io_egress_per_mebibyte	1024	f	f	cost of a write to external storage in Request Units per MiB	1024	default
tenant_cost_model.external_io_ingress_per_mebibyte	0	f	f	cost of a read from external storage in Request Units per MiB	0	default
tenant_cost_model.pgwire_egress_cost_per_mebibyte	1024	f	f	cost of client <-> SQL ingress/egress per MiB	1024	default
tenant_cost_model.read_batch_cost	0.5	f	f	base cost of a read batch in Request Units	0.5	default
tenant_cost_model.read_payload_cost_per_mebibyte	16	f	f	cost of a read payload in Request Units per MiB	16	default
tenant_cost_model.read_request_cost	0.125	f	f	base cost of a read request in Request Units	0.125	default
tenant_cost_model.sql_cpu_second_cost	333.3333	f	f	cost of a CPU-second in SQL pods in Request Units	333.3333	default
tenant_cost_model.write_batch_cost	1	f	f	base cost of a write batch in Request Units	1	default
tenant_cost_model.write_payload_cost_per_mebibyte	1024	f	f	cost of a write payload in Request Units per MiB	1024	default
tenant_cost_model.write_request_cost	1	f	f	base cost of a write request in Request Units	1	default
tenant_cost_control.external_io.byte_usage_allowance	16777216	i	f	controls how many bytes will be read/written before blocking for RUs when writing to external storage	16777216	default
tenant_global_metrics_exporter_interval	1m0s	d	f	the interval at which a node in the cluster will update the exported global metrics	1m0s	default
tenant_cost_control.instance_inactivity.timeout	1m0s	d	f	server instances that have not reported consumption for longer than this value are cleaned up; should be at least four times higher than the tenant_cost_control.token_request_period of any tenant	1m0s	default
timeseries.persist_child_metrics.enabled	false	b	f	enables the collection of high-cardinality child metrics into the time series database	false	default
timeseries.storage.enabled	true	b	t	if set, periodic timeseries data is stored within the cluster; disabling is not recommended unless you are storing the data elsewhere	true	default
timeseries.storage.resolution_10s.ttl	240h0m0s	d	t	the maximum age of time series data stored at the 10 second resolution. Data older than this is subject to rollup and deletion.	240h0m0s	default
timeseries.storage.resolution_1m.ttl	240h0m0s	d	t	the maximum age of time series data stored at the 1 minute resolution. Data older than this is subject to rollup and deletion.	240h0m0s	default
timeseries.storage.resolution_30m.ttl	2160h0m0s	d	t	the maximum age of time series data stored at the 30 minute resolution. Data older than this is subject to deletion.	2160h0m0s	default
trace.debug_http_endpoint.enabled	false	b	t	if set, traces for recent requests can be seen at https://<ui>/debug/requests	false	default
trace.opentelemetry.collector		s	t	address of an OpenTelemetry trace collector to receive traces using the otel gRPC protocol, as <host>:<port>. If no port is specified, 4317 will be used.		default
trace.redactable.enabled	true	b	f	set to true to enable finer-grainer redactability for unstructured events in traces	true	default
trace.snapshot.rate	0s	d	t	if non-zero, interval at which background trace snapshots are captured	0s	default
trace.span.force_verbose_regexp		s	f	a regular expression representing trace span operation names that should be forced into a verbose recording mode. If a span is created whose operation name matches the provided regular expression, the span and all of its children are forced into a verbose recording mode, meaning that the spans will capture all structured logs and events recorded during the lifetime of the span(s). NOTE: the verbose recording mode is known to cause non-trivial amounts of overhead. Using this setting could have a negative impact on cluster latency.		default
trace.span_registry.enabled	false	b	t	if set, ongoing traces can be seen at https://<ui>/#/debug/tracez	false	default
trace.structured_bytes_per_span.max	10 KiB	z	f	maximum size of structured log entries per span	10 KiB	default
trace.structured_bytes_per_trace.max	1.0 MiB	z	f	maximum size of structured log entries per trace recording	1.0 MiB	default
trace.zipkin.collector		s	t	the address of a Zipkin instance to receive traces, as <host>:<port>. If no port is specified, 9411 will be used.		default
ui.database_locality_metadata.enabled	true	b	t	if enabled shows extended locality data about databases and tables in DB Console which can be expensive to compute	true	default
ui.default_timezone		s	t	the default timezone used to format timestamps in the ui		default
ui.display_timezone	etc/utc	e	t	the timezone used to format timestamps in the ui. This setting is deprecatedand will be removed in a future version. Use the 'ui.default_timezone' setting instead. 'ui.default_timezone' takes precedence over this setting. [etc/utc = 0, america/new_york = 1]	etc/utc	default
